# USDA NASS Quick Stats, North Dakota, state level, weeks ending on or after 08-25.
# DS = FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK
# SOY/CORN = SOYBEANS/CORN - PROGRESS, MEASURED IN PCT HARVESTED
# Retrieved 2026-09-19 from qs.crops_20260919.txt.gz. 17 U.S.C. 105, no copyright.
year	week_ending	series	value
2001	2001-11-04	SOY	99
2001	2001-11-11	CORN	97
2001	2001-11-11	DS	6.6
2001	2001-11-11	SOY	100
2001	2001-11-18	CORN	100
2002	2002-08-25	DS	5.7
2002	2002-09-01	DS	3.7
2002	2002-09-08	DS	5
2002	2002-09-15	CORN	0
2002	2002-09-15	DS	6.6
2002	2002-09-22	CORN	0
2002	2002-09-22	DS	5.8
2002	2002-09-22	SOY	11
2002	2002-09-29	CORN	4
2002	2002-09-29	DS	5.9
2002	2002-09-29	SOY	33
2002	2002-10-06	CORN	11
2002	2002-10-06	DS	5.5
2002	2002-10-06	SOY	55
2002	2002-10-13	CORN	19
2002	2002-10-13	DS	5.6
2002	2002-10-13	SOY	68
2002	2002-10-20	CORN	33
2002	2002-10-20	DS	4.4
2002	2002-10-20	SOY	81
2002	2002-10-27	CORN	55
2002	2002-10-27	DS	4.2
2002	2002-10-27	SOY	92
2002	2002-11-03	CORN	70
2002	2002-11-03	DS	4.4
2002	2002-11-03	SOY	95
2002	2002-11-10	CORN	85
2002	2002-11-10	DS	5
2002	2002-11-10	SOY	99
2002	2002-11-17	CORN	91
2002	2002-11-17	DS	4.6
2002	2002-11-17	SOY	100
2002	2002-11-24	CORN	96
2002	2002-11-24	DS	5.5
2002	2002-11-24	SOY	100
2003	2003-08-31	DS	6.6
2003	2003-09-07	DS	7
2003	2003-09-14	CORN	1
2003	2003-09-14	DS	5.1
2003	2003-09-21	CORN	2
2003	2003-09-21	DS	4.9
2003	2003-09-21	SOY	5
2003	2003-09-28	CORN	7
2003	2003-09-28	DS	6
2003	2003-09-28	SOY	27
2003	2003-10-05	CORN	17
2003	2003-10-05	DS	6.8
2003	2003-10-05	SOY	60
2003	2003-10-12	CORN	32
2003	2003-10-12	DS	6.5
2003	2003-10-12	SOY	87
2003	2003-10-19	CORN	65
2003	2003-10-19	DS	6.7
2003	2003-10-19	SOY	97
2003	2003-10-26	CORN	86
2003	2003-10-26	DS	6.4
2003	2003-10-26	SOY	100
2003	2003-11-02	CORN	95
2003	2003-11-02	DS	3.5
2003	2003-11-02	SOY	100
2003	2003-11-09	CORN	98
2003	2003-11-09	DS	1.8
2003	2003-11-09	SOY	100
2003	2003-11-16	CORN	99
2003	2003-11-16	DS	1.5
2004	2004-08-29	DS	4.1
2004	2004-09-05	DS	4.5
2004	2004-09-12	CORN	0
2004	2004-09-12	DS	4.8
2004	2004-09-19	CORN	0
2004	2004-09-19	DS	4.3
2004	2004-09-19	SOY	0
2004	2004-09-26	DS	3.8
2004	2004-09-26	SOY	1
2004	2004-10-03	DS	5.9
2004	2004-10-03	SOY	12
2004	2004-10-10	CORN	1
2004	2004-10-10	DS	6.8
2004	2004-10-10	SOY	51
2004	2004-10-17	CORN	4
2004	2004-10-17	DS	5.3
2004	2004-10-17	SOY	79
2004	2004-10-24	CORN	9
2004	2004-10-24	DS	2.8
2004	2004-10-24	SOY	81
2004	2004-10-31	CORN	13
2004	2004-10-31	DS	2
2004	2004-10-31	SOY	82
2004	2004-11-07	CORN	31
2004	2004-11-07	DS	5.5
2004	2004-11-07	SOY	87
2004	2004-11-14	CORN	47
2004	2004-11-14	DS	6.8
2004	2004-11-14	SOY	96
2004	2004-11-21	CORN	66
2004	2004-11-21	DS	6.7
2004	2004-11-21	SOY	98
2004	2004-11-28	CORN	75
2004	2004-11-28	DS	5.1
2005	2005-08-28	DS	5.8
2005	2005-09-04	DS	6.1
2005	2005-09-11	CORN	0
2005	2005-09-11	DS	5.9
2005	2005-09-18	CORN	0
2005	2005-09-18	DS	5.9
2005	2005-09-18	SOY	2
2005	2005-09-25	CORN	1
2005	2005-09-25	DS	6.1
2005	2005-09-25	SOY	17
2005	2005-10-02	CORN	3
2005	2005-10-02	DS	6.8
2005	2005-10-02	SOY	55
2005	2005-10-09	CORN	6
2005	2005-10-09	DS	3.1
2005	2005-10-09	SOY	73
2005	2005-10-16	CORN	13
2005	2005-10-16	DS	4.7
2005	2005-10-16	SOY	87
2005	2005-10-23	CORN	29
2005	2005-10-23	DS	6
2005	2005-10-23	SOY	96
2005	2005-10-30	CORN	61
2005	2005-10-30	DS	6.5
2005	2005-10-30	SOY	99
2005	2005-11-06	CORN	86
2005	2005-11-06	DS	5.4
2005	2005-11-06	SOY	100
2005	2005-11-13	CORN	94
2005	2005-11-13	DS	5
2005	2005-11-20	DS	4
2006	2006-08-27	DS	5.5
2006	2006-09-03	DS	6.2
2006	2006-09-10	CORN	1
2006	2006-09-10	DS	6.8
2006	2006-09-17	CORN	2
2006	2006-09-17	DS	5.3
2006	2006-09-17	SOY	16
2006	2006-09-24	CORN	2
2006	2006-09-24	DS	3.8
2006	2006-09-24	SOY	26
2006	2006-10-01	CORN	6
2006	2006-10-01	DS	5.6
2006	2006-10-01	SOY	43
2006	2006-10-08	CORN	17
2006	2006-10-08	DS	6
2006	2006-10-08	SOY	77
2006	2006-10-15	CORN	31
2006	2006-10-15	DS	5.7
2006	2006-10-15	SOY	92
2006	2006-10-22	CORN	53
2006	2006-10-22	DS	4.6
2006	2006-10-22	SOY	95
2006	2006-10-29	CORN	78
2006	2006-10-29	DS	6.3
2006	2006-10-29	SOY	97
2006	2006-11-05	CORN	93
2006	2006-11-05	DS	4.6
2006	2006-11-05	SOY	99
2006	2006-11-12	CORN	98
2006	2006-11-12	DS	6
2006	2006-11-12	SOY	100
2006	2006-11-19	CORN	100
2006	2006-11-19	SOY	100
2006	2006-11-26	CORN	100
2007	2007-08-26	DS	5.6
2007	2007-09-02	DS	6.5
2007	2007-09-09	CORN	0
2007	2007-09-09	DS	5.6
2007	2007-09-16	CORN	0
2007	2007-09-16	DS	6.5
2007	2007-09-16	SOY	1
2007	2007-09-23	CORN	2
2007	2007-09-23	DS	5.8
2007	2007-09-23	SOY	8
2007	2007-09-30	CORN	5
2007	2007-09-30	DS	6.3
2007	2007-09-30	SOY	37
2007	2007-10-07	CORN	13
2007	2007-10-07	DS	5.4
2007	2007-10-07	SOY	61
2007	2007-10-14	CORN	27
2007	2007-10-14	DS	5.2
2007	2007-10-14	SOY	74
2007	2007-10-21	CORN	41
2007	2007-10-21	DS	4.4
2007	2007-10-21	SOY	80
2007	2007-10-28	CORN	55
2007	2007-10-28	DS	6.6
2007	2007-10-28	SOY	93
2007	2007-11-04	CORN	80
2007	2007-11-04	DS	6.5
2007	2007-11-04	SOY	98
2007	2007-11-11	CORN	91
2007	2007-11-11	DS	6.5
2007	2007-11-11	SOY	100
2007	2007-11-18	CORN	97
2007	2007-11-18	DS	6.2
2008	2008-08-31	DS	5.9
2008	2008-09-07	DS	4
2008	2008-09-14	DS	4.5
2008	2008-09-21	CORN	0
2008	2008-09-21	DS	6.1
2008	2008-09-21	SOY	1
2008	2008-09-28	CORN	0
2008	2008-09-28	DS	5.2
2008	2008-09-28	SOY	9
2008	2008-10-05	CORN	0
2008	2008-10-05	DS	5.9
2008	2008-10-05	SOY	37
2008	2008-10-12	CORN	1
2008	2008-10-12	DS	4
2008	2008-10-12	SOY	60
2008	2008-10-19	CORN	3
2008	2008-10-19	DS	4.2
2008	2008-10-19	SOY	70
2008	2008-10-26	CORN	4
2008	2008-10-26	DS	3.8
2008	2008-10-26	SOY	77
2008	2008-11-02	CORN	11
2008	2008-11-02	DS	6.4
2008	2008-11-02	SOY	88
2008	2008-11-09	CORN	23
2008	2008-11-09	DS	3.3
2008	2008-11-09	SOY	92
2008	2008-11-16	CORN	33
2008	2008-11-16	DS	3.1
2008	2008-11-16	SOY	94
2008	2008-11-23	CORN	53
2008	2008-11-23	DS	4.4
2008	2008-11-30	DS	5.2
2009	2009-08-30	DS	6
2009	2009-09-06	DS	6.4
2009	2009-09-13	DS	4.2
2009	2009-09-20	DS	6.6
2009	2009-09-27	DS	5.8
2009	2009-09-27	SOY	3
2009	2009-10-04	DS	3.5
2009	2009-10-04	SOY	13
2009	2009-10-11	DS	2.3
2009	2009-10-11	SOY	17
2009	2009-10-18	CORN	1
2009	2009-10-18	DS	2
2009	2009-10-18	SOY	21
2009	2009-10-25	CORN	2
2009	2009-10-25	DS	2.4
2009	2009-10-25	SOY	26
2009	2009-11-01	CORN	2
2009	2009-11-01	DS	3
2009	2009-11-01	SOY	36
2009	2009-11-08	CORN	3
2009	2009-11-08	DS	6.2
2009	2009-11-08	SOY	64
2009	2009-11-15	CORN	8
2009	2009-11-15	DS	6.7
2009	2009-11-15	SOY	80
2009	2009-11-22	CORN	21
2009	2009-11-22	DS	6.8
2009	2009-11-22	SOY	92
2009	2009-11-29	CORN	40
2009	2009-11-29	DS	6.5
2009	2009-11-29	SOY	96
2009	2009-12-06	CORN	53
2009	2009-12-06	DS	4.3
2009	2009-12-13	CORN	60
2009	2009-12-20	CORN	68
2010	2010-08-29	DS	6.2
2010	2010-09-05	DS	3.9
2010	2010-09-12	DS	2.6
2010	2010-09-19	DS	3.4
2010	2010-09-19	SOY	1
2010	2010-09-26	DS	2.2
2010	2010-09-26	SOY	3
2010	2010-10-03	CORN	2
2010	2010-10-03	DS	6.4
2010	2010-10-03	SOY	28
2010	2010-10-10	CORN	6
2010	2010-10-10	DS	6.8
2010	2010-10-10	SOY	68
2010	2010-10-17	CORN	22
2010	2010-10-17	DS	6.7
2010	2010-10-17	SOY	90
2010	2010-10-24	CORN	55
2010	2010-10-24	DS	6.7
2010	2010-10-24	SOY	98
2010	2010-10-31	CORN	67
2010	2010-10-31	DS	2.3
2010	2010-10-31	SOY	100
2010	2010-11-07	CORN	84
2010	2010-11-07	DS	6
2010	2010-11-14	DS	5.5
2010	2010-11-21	DS	3.8
2011	2011-08-28	DS	6.4
2011	2011-09-04	DS	5.6
2011	2011-09-11	DS	6.9
2011	2011-09-18	DS	6.3
2011	2011-09-25	DS	5.3
2011	2011-09-25	SOY	5
2011	2011-10-02	CORN	1
2011	2011-10-02	DS	6.9
2011	2011-10-02	SOY	43
2011	2011-10-09	CORN	10
2011	2011-10-09	DS	5.7
2011	2011-10-09	SOY	79
2011	2011-10-16	CORN	31
2011	2011-10-16	DS	5.4
2011	2011-10-16	SOY	86
2011	2011-10-23	CORN	71
2011	2011-10-23	DS	6.5
2011	2011-10-23	SOY	93
2011	2011-10-30	CORN	88
2011	2011-10-30	DS	6
2011	2011-10-30	SOY	98
2011	2011-11-06	CORN	96
2011	2011-11-06	DS	6.4
2011	2011-11-06	SOY	100
2011	2011-11-13	CORN	100
2011	2011-11-13	DS	6.5
2011	2011-11-13	SOY	100
2011	2011-11-20	CORN	100
2011	2011-11-20	DS	4.5
2011	2011-11-27	DS	4.5
2012	2012-08-26	CORN	0
2012	2012-08-26	DS	6.4
2012	2012-09-02	CORN	0
2012	2012-09-02	DS	6.5
2012	2012-09-09	CORN	2
2012	2012-09-09	DS	6.8
2012	2012-09-09	SOY	4
2012	2012-09-16	CORN	10
2012	2012-09-16	DS	6.7
2012	2012-09-16	SOY	28
2012	2012-09-23	CORN	20
2012	2012-09-23	DS	6.9
2012	2012-09-23	SOY	56
2012	2012-09-30	CORN	36
2012	2012-09-30	DS	6.8
2012	2012-09-30	SOY	80
2012	2012-10-07	CORN	63
2012	2012-10-07	DS	5.2
2012	2012-10-07	SOY	93
2012	2012-10-14	CORN	84
2012	2012-10-14	DS	6.2
2012	2012-10-14	SOY	98
2012	2012-10-21	CORN	91
2012	2012-10-21	DS	4.2
2012	2012-10-21	SOY	100
2012	2012-10-28	CORN	94
2012	2012-10-28	DS	4.2
2012	2012-10-28	SOY	100
2012	2012-11-04	CORN	98
2012	2012-11-04	DS	4.2
2012	2012-11-04	SOY	100
2012	2012-11-11	DS	2.9
2012	2012-11-11	SOY	100
2012	2012-11-18	DS	4.1
2012	2012-11-25	DS	4.1
2013	2013-08-25	DS	6.6
2013	2013-09-01	DS	6
2013	2013-09-08	DS	5.9
2013	2013-09-15	CORN	0
2013	2013-09-15	DS	4.9
2013	2013-09-22	CORN	1
2013	2013-09-22	DS	5.2
2013	2013-09-22	SOY	3
2013	2013-09-29	CORN	1
2013	2013-09-29	DS	4.7
2013	2013-09-29	SOY	13
2013	2013-10-20	CORN	14
2013	2013-10-20	DS	2.4
2013	2013-10-20	SOY	54
2013	2013-10-27	CORN	33
2013	2013-10-27	DS	4.8
2013	2013-10-27	SOY	73
2013	2013-11-03	CORN	47
2013	2013-11-03	DS	5.8
2013	2013-11-03	SOY	90
2013	2013-11-10	CORN	64
2013	2013-11-10	DS	5.7
2013	2013-11-10	SOY	95
2013	2013-11-17	DS	5.7
2013	2013-11-24	DS	4.7
2013	2013-12-01	DS	5.3
2014	2014-08-31	DS	3.5
2014	2014-09-07	DS	4.63
2014	2014-09-14	CORN	0
2014	2014-09-14	DS	4.99
2014	2014-09-21	CORN	0
2014	2014-09-21	DS	6.07
2014	2014-09-21	SOY	0
2014	2014-09-28	CORN	0
2014	2014-09-28	DS	6.18
2014	2014-09-28	SOY	9
2014	2014-10-05	CORN	1
2014	2014-10-05	DS	4.74
2014	2014-10-05	SOY	31
2014	2014-10-12	CORN	2
2014	2014-10-12	DS	5.75
2014	2014-10-12	SOY	64
2014	2014-10-19	CORN	7
2014	2014-10-19	DS	6.13
2014	2014-10-19	SOY	83
2014	2014-10-26	CORN	22
2014	2014-10-26	DS	6.63
2014	2014-10-26	SOY	93
2014	2014-11-02	CORN	48
2014	2014-11-02	DS	6.2
2014	2014-11-02	SOY	97
2014	2014-11-09	CORN	73
2014	2014-11-09	DS	5.2
2014	2014-11-09	SOY	100
2014	2014-11-16	CORN	85
2014	2014-11-16	DS	3.6
2014	2014-11-16	SOY	100
2014	2014-11-23	CORN	92
2014	2014-11-23	DS	4
2014	2014-11-23	SOY	100
2014	2014-11-30	CORN	95
2014	2014-11-30	DS	2.5
2015	2015-08-30	DS	6.5
2015	2015-09-06	DS	5.6
2015	2015-09-13	CORN	0
2015	2015-09-13	DS	6.3
2015	2015-09-13	SOY	1
2015	2015-09-20	CORN	0
2015	2015-09-20	DS	5.9
2015	2015-09-20	SOY	10
2015	2015-09-27	CORN	3
2015	2015-09-27	DS	5.9
2015	2015-09-27	SOY	33
2015	2015-10-04	CORN	6
2015	2015-10-04	DS	5.6
2015	2015-10-04	SOY	70
2015	2015-10-11	CORN	15
2015	2015-10-11	DS	6.1
2015	2015-10-11	SOY	86
2015	2015-10-18	CORN	37
2015	2015-10-18	DS	6.7
2015	2015-10-18	SOY	94
2015	2015-10-25	CORN	64
2015	2015-10-25	DS	5.1
2015	2015-10-25	SOY	98
2015	2015-11-01	CORN	83
2015	2015-11-01	DS	5.3
2015	2015-11-01	SOY	100
2015	2015-11-08	CORN	91
2015	2015-11-08	DS	4.6
2015	2015-11-08	SOY	100
2015	2015-11-15	CORN	97
2015	2015-11-15	DS	5.4
2015	2015-11-22	DS	4.9
2015	2015-11-29	DS	5.2
2016	2016-08-28	DS	6.3
2016	2016-09-04	CORN	0
2016	2016-09-04	DS	5.9
2016	2016-09-11	CORN	1
2016	2016-09-11	DS	4.3
2016	2016-09-11	SOY	0
2016	2016-09-18	CORN	2
2016	2016-09-18	DS	4.6
2016	2016-09-18	SOY	2
2016	2016-09-25	CORN	3
2016	2016-09-25	DS	4.2
2016	2016-09-25	SOY	12
2016	2016-10-02	CORN	6
2016	2016-10-02	DS	5.9
2016	2016-10-02	SOY	46
2016	2016-10-09	CORN	10
2016	2016-10-09	DS	4.6
2016	2016-10-09	SOY	74
2016	2016-10-16	CORN	21
2016	2016-10-16	DS	5.7
2016	2016-10-16	SOY	86
2016	2016-10-23	CORN	39
2016	2016-10-23	DS	5.9
2016	2016-10-23	SOY	94
2016	2016-10-30	CORN	52
2016	2016-10-30	DS	4.8
2016	2016-10-30	SOY	97
2016	2016-11-06	CORN	71
2016	2016-11-06	DS	6.2
2016	2016-11-06	SOY	98
2016	2016-11-13	CORN	85
2016	2016-11-13	DS	6.5
2016	2016-11-13	SOY	99
2016	2016-11-20	CORN	93
2016	2016-11-20	DS	6.1
2016	2016-11-20	SOY	100
2016	2016-11-27	CORN	97
2016	2016-11-27	DS	5.8
2017	2017-08-27	DS	6.1
2017	2017-09-03	DS	6.4
2017	2017-09-10	CORN	0
2017	2017-09-10	DS	6.9
2017	2017-09-17	CORN	0
2017	2017-09-17	DS	5
2017	2017-09-17	SOY	2
2017	2017-09-24	CORN	1
2017	2017-09-24	DS	4.2
2017	2017-09-24	SOY	9
2017	2017-10-01	CORN	2
2017	2017-10-01	DS	4.5
2017	2017-10-01	SOY	18
2017	2017-10-08	CORN	4
2017	2017-10-08	DS	6.2
2017	2017-10-08	SOY	44
2017	2017-10-15	CORN	8
2017	2017-10-15	DS	6.5
2017	2017-10-15	SOY	72
2017	2017-10-22	CORN	17
2017	2017-10-22	DS	6.7
2017	2017-10-22	SOY	89
2017	2017-10-29	CORN	37
2017	2017-10-29	DS	6.1
2017	2017-10-29	SOY	96
2017	2017-11-05	CORN	59
2017	2017-11-05	DS	4.8
2017	2017-11-05	SOY	98
2017	2017-11-12	CORN	76
2017	2017-11-12	DS	5.4
2017	2017-11-12	SOY	99
2017	2017-11-19	CORN	86
2017	2017-11-19	DS	5.8
2017	2017-11-19	SOY	100
2017	2017-11-26	CORN	94
2017	2017-11-26	DS	6
2018	2018-08-26	DS	5.8
2018	2018-09-02	DS	5.6
2018	2018-09-09	CORN	0
2018	2018-09-09	DS	5.9
2018	2018-09-09	SOY	3
2018	2018-09-16	CORN	1
2018	2018-09-16	DS	5.8
2018	2018-09-16	SOY	10
2018	2018-09-23	CORN	4
2018	2018-09-23	DS	4.4
2018	2018-09-23	SOY	21
2018	2018-09-30	CORN	6
2018	2018-09-30	DS	4.2
2018	2018-09-30	SOY	30
2018	2018-10-07	CORN	8
2018	2018-10-07	DS	2
2018	2018-10-07	SOY	34
2018	2018-10-14	CORN	12
2018	2018-10-14	DS	1.7
2018	2018-10-14	SOY	37
2018	2018-10-21	CORN	21
2018	2018-10-21	DS	5.5
2018	2018-10-21	SOY	53
2018	2018-10-28	CORN	36
2018	2018-10-28	DS	5.8
2018	2018-10-28	SOY	78
2018	2018-11-04	CORN	49
2018	2018-11-04	DS	4.5
2018	2018-11-04	SOY	86
2018	2018-11-11	CORN	62
2018	2018-11-11	DS	3.1
2018	2018-11-11	SOY	91
2018	2018-11-18	CORN	71
2018	2018-11-18	DS	3.3
2018	2018-11-18	SOY	93
2018	2018-11-25	CORN	80
2018	2018-11-25	DS	4.1
2018	2018-11-25	SOY	94
2018	2018-12-02	DS	3.7
2019	2019-08-25	DS	6
2019	2019-09-01	DS	5
2019	2019-09-08	DS	4.5
2019	2019-09-15	CORN	0
2019	2019-09-15	DS	1.9
2019	2019-09-22	CORN	0
2019	2019-09-22	DS	4
2019	2019-09-22	SOY	1
2019	2019-09-29	CORN	0
2019	2019-09-29	DS	3
2019	2019-09-29	SOY	4
2019	2019-10-06	CORN	0
2019	2019-10-06	DS	1.3
2019	2019-10-06	SOY	8
2019	2019-10-13	CORN	1
2019	2019-10-13	DS	2
2019	2019-10-13	SOY	16
2019	2019-10-20	CORN	4
2019	2019-10-20	DS	2.2
2019	2019-10-20	SOY	20
2019	2019-10-27	CORN	6
2019	2019-10-27	DS	3.6
2019	2019-10-27	SOY	29
2019	2019-11-03	CORN	10
2019	2019-11-03	DS	5.1
2019	2019-11-03	SOY	56
2019	2019-11-10	CORN	15
2019	2019-11-10	DS	4.9
2019	2019-11-10	SOY	74
2019	2019-11-17	CORN	23
2019	2019-11-17	DS	4.7
2019	2019-11-17	SOY	84
2019	2019-11-24	CORN	30
2019	2019-11-24	DS	4
2019	2019-11-24	SOY	89
2019	2019-12-01	CORN	36
2019	2019-12-01	DS	3.1
2019	2019-12-01	SOY	92
2019	2019-12-08	CORN	43
2019	2019-12-08	DS	3.5
2019	2019-12-08	SOY	94
2020	2020-08-30	DS	5.6
2020	2020-09-06	DS	6
2020	2020-09-13	CORN	0
2020	2020-09-13	DS	6
2020	2020-09-13	SOY	1
2020	2020-09-20	CORN	3
2020	2020-09-20	DS	6.8
2020	2020-09-20	SOY	8
2020	2020-09-27	CORN	4
2020	2020-09-27	DS	6.3
2020	2020-09-27	SOY	27
2020	2020-10-04	CORN	11
2020	2020-10-04	DS	6.6
2020	2020-10-04	SOY	60
2020	2020-10-11	CORN	25
2020	2020-10-11	DS	6.7
2020	2020-10-11	SOY	83
2020	2020-10-18	CORN	55
2020	2020-10-18	DS	6
2020	2020-10-18	SOY	92
2020	2020-10-25	CORN	73
2020	2020-10-25	DS	3.7
2020	2020-10-25	SOY	97
2020	2020-11-01	CORN	84
2020	2020-11-01	DS	4.7
2020	2020-11-01	SOY	100
2020	2020-11-08	CORN	93
2020	2020-11-08	DS	6.4
2020	2020-11-08	SOY	100
2020	2020-11-15	CORN	97
2020	2020-11-15	DS	5.4
2020	2020-11-15	SOY	100
2020	2020-11-22	DS	5.1
2020	2020-11-29	DS	5.3
2021	2021-08-29	DS	4.5
2021	2021-09-05	DS	5.2
2021	2021-09-12	CORN	0
2021	2021-09-12	DS	6.2
2021	2021-09-12	SOY	4
2021	2021-09-19	CORN	3
2021	2021-09-19	DS	6
2021	2021-09-19	SOY	11
2021	2021-09-26	CORN	9
2021	2021-09-26	DS	6.4
2021	2021-09-26	SOY	26
2021	2021-10-03	CORN	18
2021	2021-10-03	DS	6.1
2021	2021-10-03	SOY	48
2021	2021-10-10	CORN	29
2021	2021-10-10	DS	5.6
2021	2021-10-10	SOY	73
2021	2021-10-17	CORN	42
2021	2021-10-17	DS	3.4
2021	2021-10-17	SOY	81
2021	2021-10-24	CORN	55
2021	2021-10-24	DS	5.4
2021	2021-10-24	SOY	91
2021	2021-10-31	CORN	69
2021	2021-10-31	DS	5.5
2021	2021-10-31	SOY	95
2021	2021-11-07	CORN	82
2021	2021-11-07	DS	6.2
2021	2021-11-07	SOY	98
2021	2021-11-14	CORN	90
2021	2021-11-14	DS	4.1
2021	2021-11-14	SOY	100
2021	2021-11-21	CORN	95
2021	2021-11-21	DS	4.7
2021	2021-11-21	SOY	100
2021	2021-11-28	CORN	98
2021	2021-11-28	DS	5.1
2022	2022-08-28	DS	5.8
2022	2022-09-04	DS	6.7
2022	2022-09-11	CORN	0
2022	2022-09-11	DS	6.7
2022	2022-09-18	CORN	0
2022	2022-09-18	DS	5.900
2022	2022-09-18	SOY	4
2022	2022-09-25	CORN	0
2022	2022-09-25	DS	5.300
2022	2022-09-25	SOY	5
2022	2022-10-02	CORN	3
2022	2022-10-02	DS	5.9
2022	2022-10-02	SOY	26
2022	2022-10-09	CORN	12
2022	2022-10-09	DS	6.5
2022	2022-10-09	SOY	53
2022	2022-10-16	CORN	25
2022	2022-10-16	DS	6.4
2022	2022-10-16	SOY	76
2022	2022-10-23	CORN	48
2022	2022-10-23	DS	6.4
2022	2022-10-23	SOY	92
2022	2022-10-30	CORN	74
2022	2022-10-30	DS	5.9
2022	2022-10-30	SOY	99
2022	2022-11-06	CORN	91
2022	2022-11-06	DS	6.4
2022	2022-11-06	SOY	100
2022	2022-11-13	CORN	96
2022	2022-11-13	DS	3.7
2022	2022-11-13	SOY	100
2022	2022-11-20	CORN	98
2022	2022-11-20	DS	2.3
2022	2022-11-27	DS	3.1
2023	2023-08-27	DS	5
2023	2023-09-03	DS	6.2
2023	2023-09-10	CORN	0
2023	2023-09-10	DS	5.4
2023	2023-09-17	CORN	0
2023	2023-09-17	DS	6.4
2023	2023-09-17	SOY	4
2023	2023-09-24	CORN	3
2023	2023-09-24	DS	4.3
2023	2023-09-24	SOY	10
2023	2023-10-01	CORN	8
2023	2023-10-01	DS	4.6
2023	2023-10-01	SOY	23
2023	2023-10-08	CORN	14
2023	2023-10-08	DS	4.1
